image_path,detected_objects,image_category,num_objects,timestamp
data/raw/images/lobelia4cosmetics/26496.jpg,"[{'name': 'bottle', 'confidence': 0.861930787563324}]",product_display,1,2026-06-30 00:20:59.120131
data/raw/images/lobelia4cosmetics/26657.jpg,[],other,0,2026-06-30 00:20:59.353670
data/raw/images/lobelia4cosmetics/26643.jpg,[],other,0,2026-06-30 00:20:59.570309
data/raw/images/lobelia4cosmetics/26680.jpg,"[{'name': 'person', 'confidence': 0.8004418611526489}]",lifestyle,1,2026-06-30 00:20:59.774275
data/raw/images/lobelia4cosmetics/26682.jpg,[],other,0,2026-06-30 00:20:59.982629
data/raw/images/lobelia4cosmetics/26669.jpg,[],other,0,2026-06-30 00:21:00.223569
data/raw/images/lobelia4cosmetics/26655.jpg,"[{'name': 'book', 'confidence': 0.2522209882736206}]",product_display,1,2026-06-30 00:21:00.433391
data/raw/images/lobelia4cosmetics/26641.jpg,[],other,0,2026-06-30 00:21:00.759792
data/raw/images/lobelia4cosmetics/26494.jpg,"[{'name': 'clock', 'confidence': 0.27083978056907654}]",other,1,2026-06-30 00:21:00.988247
data/raw/images/lobelia4cosmetics/26523.jpg,"[{'name': 'dining table', 'confidence': 0.43784499168395996}]",other,1,2026-06-30 00:21:01.466351
data/raw/images/lobelia4cosmetics/26537.jpg,"[{'name': 'bottle', 'confidence': 0.47497889399528503}, {'name': 'book', 'confidence': 0.2567864954471588}]",product_display,2,2026-06-30 00:21:01.684384
data/raw/images/lobelia4cosmetics/26536.jpg,"[{'name': 'clock', 'confidence': 0.27083978056907654}]",other,1,2026-06-30 00:21:01.909082
data/raw/images/lobelia4cosmetics/26495.jpg,[],other,0,2026-06-30 00:21:02.105109
data/raw/images/lobelia4cosmetics/26640.jpg,"[{'name': 'bottle', 'confidence': 0.2724872827529907}]",product_display,1,2026-06-30 00:21:02.403609
data/raw/images/lobelia4cosmetics/26654.jpg,"[{'name': 'bottle', 'confidence': 0.5668651461601257}, {'name': 'bottle', 'confidence': 0.37785661220550537}, {'name': 'bottle', 'confidence': 0.2698684334754944}, {'name': 'bottle', 'confidence': 0.2639971971511841}, {'name': 'bottle', 'confidence': 0.25665321946144104}]",product_display,5,2026-06-30 00:21:02.597890
data/raw/images/lobelia4cosmetics/26668.jpg,"[{'name': 'bottle', 'confidence': 0.861930787563324}]",product_display,1,2026-06-30 00:21:02.912189
data/raw/images/lobelia4cosmetics/26683.jpg,"[{'name': 'cup', 'confidence': 0.7179240584373474}, {'name': 'cup', 'confidence': 0.38508638739585876}, {'name': 'book', 'confidence': 0.29399362206459045}]",product_display,3,2026-06-30 00:21:03.184629
data/raw/images/lobelia4cosmetics/26633.jpg,"[{'name': 'fork', 'confidence': 0.8577804565429688}, {'name': 'cup', 'confidence': 0.49490147829055786}, {'name': 'knife', 'confidence': 0.4440270960330963}]",product_display,3,2026-06-30 00:21:03.432946
data/raw/images/lobelia4cosmetics/26627.jpg,[],other,0,2026-06-30 00:21:03.731861
data/raw/images/lobelia4cosmetics/26586.jpg,[],other,0,2026-06-30 00:21:03.936083
data/raw/images/lobelia4cosmetics/26592.jpg,"[{'name': 'bottle', 'confidence': 0.30372926592826843}, {'name': 'traffic light', 'confidence': 0.3027338683605194}]",product_display,2,2026-06-30 00:21:04.122469
data/raw/images/lobelia4cosmetics/26545.jpg,[],other,0,2026-06-30 00:21:04.354576
data/raw/images/lobelia4cosmetics/26551.jpg,"[{'name': 'sports ball', 'confidence': 0.3680322468280792}, {'name': 'sports ball', 'confidence': 0.2993013560771942}]",other,2,2026-06-30 00:21:04.569012
data/raw/images/lobelia4cosmetics/26579.jpg,[],other,0,2026-06-30 00:21:04.826740
data/raw/images/lobelia4cosmetics/26578.jpg,"[{'name': 'bottle', 'confidence': 0.6770157217979431}]",product_display,1,2026-06-30 00:21:05.014824
data/raw/images/lobelia4cosmetics/26550.jpg,[],other,0,2026-06-30 00:21:05.229068
data/raw/images/lobelia4cosmetics/26544.jpg,"[{'name': 'book', 'confidence': 0.2760385274887085}]",product_display,1,2026-06-30 00:21:05.445449
data/raw/images/lobelia4cosmetics/26593.jpg,"[{'name': 'bottle', 'confidence': 0.593852698802948}]",product_display,1,2026-06-30 00:21:05.695237
data/raw/images/lobelia4cosmetics/26587.jpg,[],other,0,2026-06-30 00:21:05.910151
data/raw/images/lobelia4cosmetics/26626.jpg,[],other,0,2026-06-30 00:21:06.121798
data/raw/images/lobelia4cosmetics/26632.jpg,"[{'name': 'book', 'confidence': 0.2522209882736206}]",product_display,1,2026-06-30 00:21:06.331671
data/raw/images/lobelia4cosmetics/26624.jpg,"[{'name': 'bottle', 'confidence': 0.3789410889148712}, {'name': 'cake', 'confidence': 0.285519003868103}]",product_display,2,2026-06-30 00:21:06.497213
data/raw/images/lobelia4cosmetics/26630.jpg,[],other,0,2026-06-30 00:21:06.752026
data/raw/images/lobelia4cosmetics/26618.jpg,"[{'name': 'bottle', 'confidence': 0.4822954833507538}, {'name': 'bottle', 'confidence': 0.47251272201538086}, {'name': 'bottle', 'confidence': 0.43178790807724}, {'name': 'bottle', 'confidence': 0.27132710814476013}]",product_display,4,2026-06-30 00:21:06.941409
data/raw/images/lobelia4cosmetics/26591.jpg,"[{'name': 'clock', 'confidence': 0.27083978056907654}]",other,1,2026-06-30 00:21:07.168927
data/raw/images/lobelia4cosmetics/26585.jpg,"[{'name': 'fork', 'confidence': 0.8577804565429688}, {'name': 'cup', 'confidence': 0.49490147829055786}, {'name': 'knife', 'confidence': 0.4440270960330963}]",product_display,3,2026-06-30 00:21:07.409975
data/raw/images/lobelia4cosmetics/26552.jpg,"[{'name': 'bottle', 'confidence': 0.25242725014686584}]",product_display,1,2026-06-30 00:21:07.550631
data/raw/images/lobelia4cosmetics/26546.jpg,"[{'name': 'fork', 'confidence': 0.8577804565429688}, {'name': 'cup', 'confidence': 0.49490147829055786}, {'name': 'knife', 'confidence': 0.4440270960330963}]",product_display,3,2026-06-30 00:21:07.800143
data/raw/images/lobelia4cosmetics/26547.jpg,[],other,0,2026-06-30 00:21:08.041704
data/raw/images/lobelia4cosmetics/26553.jpg,"[{'name': 'book', 'confidence': 0.29323312640190125}, {'name': 'bottle', 'confidence': 0.28239497542381287}, {'name': 'refrigerator', 'confidence': 0.275532066822052}, {'name': 'bottle', 'confidence': 0.26941102743148804}]",product_display,4,2026-06-30 00:21:08.266782
data/raw/images/lobelia4cosmetics/26584.jpg,"[{'name': 'cell phone', 'confidence': 0.4421606957912445}, {'name': 'donut', 'confidence': 0.41135257482528687}]",product_display,2,2026-06-30 00:21:08.481715
data/raw/images/lobelia4cosmetics/26590.jpg,[],other,0,2026-06-30 00:21:08.695675
data/raw/images/lobelia4cosmetics/26619.jpg,"[{'name': 'bottle', 'confidence': 0.5668651461601257}, {'name': 'bottle', 'confidence': 0.37785661220550537}, {'name': 'bottle', 'confidence': 0.2698684334754944}, {'name': 'bottle', 'confidence': 0.2639971971511841}, {'name': 'bottle', 'confidence': 0.25665321946144104}]",product_display,5,2026-06-30 00:21:08.884019
data/raw/images/lobelia4cosmetics/26631.jpg,[],other,0,2026-06-30 00:21:09.128841
data/raw/images/lobelia4cosmetics/26625.jpg,[],other,0,2026-06-30 00:21:09.352089
data/raw/images/lobelia4cosmetics/26609.jpg,[],other,0,2026-06-30 00:21:09.516821
data/raw/images/lobelia4cosmetics/26621.jpg,"[{'name': 'bottle', 'confidence': 0.5032001733779907}, {'name': 'bottle', 'confidence': 0.3454025387763977}, {'name': 'bottle', 'confidence': 0.31947076320648193}]",product_display,3,2026-06-30 00:21:09.742726
data/raw/images/lobelia4cosmetics/26635.jpg,[],other,0,2026-06-30 00:21:10.012294
data/raw/images/lobelia4cosmetics/26594.jpg,[],other,0,2026-06-30 00:21:10.209634
data/raw/images/lobelia4cosmetics/26580.jpg,[],other,0,2026-06-30 00:21:10.442921
data/raw/images/lobelia4cosmetics/26557.jpg,[],other,0,2026-06-30 00:21:10.748387
data/raw/images/lobelia4cosmetics/26543.jpg,"[{'name': 'orange', 'confidence': 0.480479896068573}]",other,1,2026-06-30 00:21:10.987804
data/raw/images/lobelia4cosmetics/26542.jpg,[],other,0,2026-06-30 00:21:11.187072
data/raw/images/lobelia4cosmetics/26556.jpg,[],other,0,2026-06-30 00:21:11.438844
data/raw/images/lobelia4cosmetics/26581.jpg,"[{'name': 'bottle', 'confidence': 0.4822954833507538}, {'name': 'bottle', 'confidence': 0.47251272201538086}, {'name': 'bottle', 'confidence': 0.43178790807724}, {'name': 'bottle', 'confidence': 0.27132710814476013}]",product_display,4,2026-06-30 00:21:11.636910
data/raw/images/lobelia4cosmetics/26595.jpg,"[{'name': 'orange', 'confidence': 0.317770779132843}, {'name': 'teddy bear', 'confidence': 0.27108606696128845}]",other,2,2026-06-30 00:21:11.886749
data/raw/images/lobelia4cosmetics/26634.jpg,[],other,0,2026-06-30 00:21:12.095217
data/raw/images/lobelia4cosmetics/26620.jpg,"[{'name': 'bottle', 'confidence': 0.4369507133960724}]",product_display,1,2026-06-30 00:21:12.288651
data/raw/images/lobelia4cosmetics/26608.jpg,[],other,0,2026-06-30 00:21:12.431683
data/raw/images/lobelia4cosmetics/26636.jpg,"[{'name': 'sports ball', 'confidence': 0.3680322468280792}, {'name': 'sports ball', 'confidence': 0.2993013560771942}]",other,2,2026-06-30 00:21:12.648831
data/raw/images/lobelia4cosmetics/26622.jpg,"[{'name': 'bottle', 'confidence': 0.5096045732498169}, {'name': 'bottle', 'confidence': 0.35211312770843506}]",product_display,2,2026-06-30 00:21:12.841587
data/raw/images/lobelia4cosmetics/26583.jpg,"[{'name': 'book', 'confidence': 0.2522209882736206}]",product_display,1,2026-06-30 00:21:13.158847
data/raw/images/lobelia4cosmetics/26597.jpg,"[{'name': 'person', 'confidence': 0.8004418611526489}]",lifestyle,1,2026-06-30 00:21:13.459758
